,damso (ocaml),damso (ocaml),damso (ocaml),damso (ocaml),damso (ocaml),damso (ocaml),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),julo (cpp),julo (cpp)
,1,1,2,2,3,3,1,1,2,2,3,3,4,4,1,1
,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b
mean,0.013955519914627075,0.02620911979675293,0.012928725242614746,0.0133189959526062,0.057221225261688234,0.045972766399383545,0.007692825078964233,0.008229670763015748,0.008505987882614136,0.00846851086616516,0.007840629100799561,0.0077656528949737545,0.007245398759841919,0.0070744104385375975,0.007595160007476807,0.00750743293762207
std,0.0009653764734469461,0.0014223610557172162,0.0009818228515347536,0.000962438365719304,0.003269058422470402,0.0015698441082173278,0.001041614392148415,0.0020624275857215116,0.0009728844437785765,0.0008341163054952912,0.0005918629533520236,0.0007858832473147997,0.008650770238987044,0.007036578372847432,0.0022421002852141486,0.0004998901186144796
sample,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
