,damso (ocaml),damso (ocaml),damso (ocaml),damso (ocaml),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),julo (cpp),julo (cpp)
,1,1,2,2,1,1,2,3,3,1,1
,a,b,a,b,a,b,b,a,b,a,b
mean,0.04864640307426453,0.14446134567260743,0.04549424719810486,0.046966155767440794,0.02648319983482361,0.028087175846099852,0.03185417604446411,0.029063491106033325,0.03017463207244873,0.02490221905708313,0.02678161883354187
std,0.008695325534796277,0.05098204656337037,0.021381047722905472,0.025296038319781933,0.012865942691375804,0.014298972270503746,0.020955263432767646,0.021057469417589743,0.026903725085398594,0.015401077980761999,0.01405604012429195
sample,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
