,theo (cpp),theo (cpp),damso (ocaml),damso (ocaml),julo (cpp),julo (cpp)
,1,1,1,1,1,1
,a,b,a,b,a,b
mean,0.048192381858825684,0.039905238151550296,0.07024974822998047,0.1441809892654419,0.04521989822387695,0.02426140308380127
std,0.05254019203499545,0.039420675894963945,0.03967522516397498,0.04107292659243849,0.051992707982063985,0.005149732510632603
sample,10.0,10.0,10.0,10.0,10.0,10.0
