,theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp),theo (cpp)
,9,9,10,10,11,11,12,12
,a,b,a,b,a,b,a,b
mean,0.040830397605896,0.6799396991729736,0.03691403865814209,0.03258059024810791,0.03237605094909668,0.0925508975982666,0.06536900997161865,0.06344726085662841
std,0.07560723853242525,0.07995369329765484,0.07930434307548581,0.07198819074526633,0.0723223370515601,0.07185890961062157,0.07405767319279231,0.07305362994036928
sample,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
